year,month,species_count,mean_sst,species_richness,mean_lat,mean_lon,date,month_name,biodiversity_index,genetic_diversity,species_richness_edna,season,sst_category,biodiversity_category,prev_month_sst,prev_month_species_count,sst_trend,species_trend
2023,1,6,28.41977427811287,3,12.799999999999999,77.5,2023-01-01,January,0.7533333333333333,0.6833333333333332,12.333333333333334,Winter,Warm,Medium,27.89336483648631,11.5,0.0,0.0
2023,2,13,28.959097562945402,5,12.88,77.46000000000001,2023-02-01,February,0.758,0.692,13.0,Winter,Warm,Medium,28.41977427811287,6.0,0.5393232848325304,7.0
2023,3,11,29.50409241689338,5,12.959999999999999,77.5,2023-03-01,March,0.778,0.7,13.2,Spring,Warm,Medium,28.959097562945402,13.0,0.5449948539479763,-2.0
2023,4,12,29.8345695831727,5,12.940000000000001,77.56,2023-04-01,April,0.764,0.696,13.0,Spring,Warm,Medium,29.50409241689338,11.0,0.3304771662793229,1.0
2023,5,13,29.37284134196966,5,12.940000000000001,77.5,2023-05-01,May,0.7779999999999999,0.6980000000000001,13.0,Spring,Warm,Medium,29.8345695831727,12.0,-0.46172824120304057,1.0
2023,6,11,28.98389192475181,5,12.919999999999998,77.42,2023-06-01,June,0.756,0.688,12.4,Summer,Warm,Medium,29.37284134196966,13.0,-0.3889494172178516,-2.0
2023,7,14,27.728804473622922,5,12.959999999999999,77.52000000000001,2023-07-01,July,0.79,0.718,14.6,Summer,Moderate,Medium,28.98389192475181,11.0,-1.2550874511288868,3.0
2023,8,12,26.834139707010962,5,12.9,77.47999999999999,2023-08-01,August,0.764,0.6980000000000001,12.6,Summer,Moderate,Medium,27.728804473622922,14.0,-0.8946647666119603,-2.0
2023,9,10,26.115106661013236,5,13.0,77.58,2023-09-01,September,0.784,0.71,13.8,Autumn,Moderate,Medium,26.834139707010962,12.0,-0.7190330459977261,-2.0
2023,10,13,25.741493442632258,5,12.919999999999998,77.5,2023-10-01,October,0.768,0.7,13.0,Autumn,Cool,Medium,26.115106661013236,10.0,-0.37361321838097794,3.0
2023,11,13,26.217302473347672,5,12.959999999999999,77.46000000000001,2023-11-01,November,0.762,0.6900000000000001,12.2,Autumn,Moderate,Medium,25.741493442632258,13.0,0.47580903071541414,0.0
2023,12,10,27.009264172362816,5,12.9,77.52000000000001,2023-12-01,December,0.76,0.688,11.6,Winter,Moderate,Medium,26.217302473347672,13.0,0.7919616990151432,-3.0
